Date mutation,valeur_fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Surface Carrez du 1er lot,Nombre pieces principales,Surface terrain
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,3.0,
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,3.0,
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,3.0,
14/01/2022,119000.0,90.0,RUE,1340,DE LA CLOCHE,59200.0,TOURCOING,59,599,,2.0,
11/01/2022,535000.0,17.0,RUE,7744,SAINT ELOI,59000.0,LILLE,59,350,,2.0,191.0
11/01/2022,535000.0,17.0,RUE,7744,SAINT ELOI,59000.0,LILLE,59,350,,1.0,191.0
11/01/2022,535000.0,17.0,RUE,7744,SAINT ELOI,59000.0,LILLE,59,350,,2.0,191.0
17/01/2022,168800.0,170.0,ALL,5604,DE LIEGE,59777.0,LILLE,59,350,,2.0,
18/01/2022,253500.0,36.0,PL,5730,LOUISE DE BETTIGNIES,59800.0,LILLE,59,350,,2.0,
11/01/2022,129260.0,49.0,RUE,0114,DE LA BELLE DRAPERIE,59250.0,HALLUIN,59,279,,3.0,
06/01/2022,595250.0,53.0,RUE,1726,DE LA CLEF,59800.0,LILLE,59,350,"138,46",5.0,
07/01/2022,157500.0,53.0,AV,9579,DE LA REPUBLIQUE LOMME,59160.0,LILLE,59,350,,2.0,
10/01/2022,136413.55,65.0,RUE,0120,CASTELNAU,59126.0,LINSELLES,59,352,,3.0,
14/01/2022,200000.0,85.0,RUE,6170,DU MOLINEL,59800.0,LILLE,59,350,"56,07",2.0,
06/01/2022,146700.0,187.0,RUE,0239,DU GAL LECLERC,59510.0,HEM,59,299,,2.0,
